Tên địa điểm,Mô tả,Tỉnh thành,Thể loại,Link google map,ID Ảnh URL địa điểm
Bãi biển Mỹ Khê,"Bãi biển hoang sơ, yên tĩnh với cát trắng mịn",Quảng Ngãi,"Địa điểm tham quan miễn phí, Mua sắm, Nhà thờ, Biển",https://maps.app.goo.gl/KzJcC4kWs1Tip5r67,1oJsM4BaRQ9x_ldHJCfTfpePk09KGbF5s
Đèo Vi Ô Lắc,"Đèo nằm ở vùng núi phía Tây Quảng Ngãi, nổi bật với những khúc cua uốn lượn và phong cảnh thiên nhiên hùng vĩ, điểm lý tưởng để ngắm cảnh và trải nghiệm cung đường phượt.",Quảng Ngãi,"Danh lam thắng cảnh, Thiên nhiên, Núi, Điểm ngắm cảnh tự nhiên, Đi bộ đường dài, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/CKotdV6zQT3oRM9R6,1MBvsZs-ppCVIwY_PO30dFX1vDv0AIihZ
Núi Thiên Ấn,Núi cao với nhiều chùa chiền cổ kính và cảnh quan đẹp,Quảng Ngãi,"Đi xe đạp tham quan, Núi, Chùa",https://maps.app.goo.gl/GQAJRsJ7QVj4Rac7A,1eY0NTqczfsa-03SRZC9QJ4S_Nvt6cSkL
Chùa Thiên Bút,Chùa cổ nằm trên núi Thiên Ấn với kiến trúc độc đáo,Quảng Ngãi,"Công trình kiến trúc, Chùa, Núi",https://maps.app.goo.gl/AcveNU48qzjG78N28,1N4La3_b5xJvD5e89IVrvquQT14KkKPzP
Bãi biển Sa Huỳnh,Bãi biển cổ với nhiều di chỉ khảo cổ của nền văn hóa Sa Huỳnh,Quảng Ngãi,"Khu phố cổ, Biển, Di tích lịch sử",https://maps.app.goo.gl/e8hxxkysR6NouZbt7,1wLhbyYqwGif_EqRzSUqDooGPjDuyabdM
Cổng Tò Vò (Lý Sơn),Cổng đá tự nhiên hình thành từ dung nham núi lửa,Quảng Ngãi,"Núi, Khu phố cổ, Điểm ngắm cảnh tự nhiên",https://maps.app.goo.gl/MkQtmvtjG1msFn648,1WBo47U8qyQULeGzPREan9yfIu6Vpatf8
Bảo tàng Quảng Ngãi,"Bảo tàng trưng bày về lịch sử, văn hóa của tỉnh Quảng Ngãi",Quảng Ngãi,"Di tích lịch sử, Khu bảo tồn, Bảo tàng",https://maps.app.goo.gl/pcTF7g2LHy3na5wT9,1pOtgLbk3pQBCGpQaWzHT49SMwpUlFO7i
Thác Trắng,Thác nước đẹp giữa rừng già với dòng nước trong mát,Quảng Ngãi,"Thác, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/avHHccSdHjt2wt3T9,1UTGedjObBeor4ukYJ79AT6EJxJb_QFol
Cánh đồng muối Sa Huỳnh,Cánh đồng muối truyền thống với phương pháp sản xuất độc đáo,Quảng Ngãi,"Lễ hội địa phương, Làng nghề truyền thống, Chợ truyền thống",https://maps.app.goo.gl/6PPEknUQ3ziDzHwC8,1QlMacd8A9e39UlM2gLCl0vKZcauO_eMY
Hồ núi lửa Thới Lới,"Hồ nước nằm trong miệng núi lửa đã tắt, mang vẻ đẹp hùng vĩ và độc đáo.",Quảng Ngãi,"Hồ, Điểm ngắm cảnh tự nhiên, Thiên nhiên, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/aa9ANxgUxmSFh6PB9,15TvEvi9ZmuB6sIom9jPmCgypP3At6WpP
Mũi Ba Làng An,"Mũi đất nhô ra biển với vách đá bazan độc đáo, nước biển trong xanh, là điểm ngắm bình minh và hoàng hôn tuyệt đẹp.",Quảng Ngãi,"Danh lam thắng cảnh, Thiên nhiên, Điểm ngắm cảnh tự nhiên, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/F2YhcgsjidG9bijt9,1eQjSOWMC55cmxhROWV0NQFUckHUCzD6B
"Khu Lưu niệm Thủ tướng Phạm Văn Đồng
","Khu lưu niệm tái hiện cuộc đời và sự nghiệp của Thủ tướng Phạm Văn Đồng, gồm nhà trưng bày và không gian tưởng niệm.",Quảng Ngãi,"Di tích lịch sử, Bảo tàng, Đài tưởng niệm, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/2nSkeh2vZJgBwuxTA,1-DWmvzSZfOy1mT0nUttVf-UwVOLvn1Q5
Bãi rạng,"Nơi đây được biết đến với vẻ đẹp hoang sơ, thanh bình, với bờ cát trắng mịn, nước biển trong xanh và những rặng dừa xanh mát. Bãi biển có hình chữ C, uốn cong giữa hai ghềnh đá, tạo nên một không gian yên tĩnh và lãng mạn.",Bình Định,"Biển, Thiên nhiên, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/CsSKNjMhuXjGcd47A,1Qs5yCALLKai281U7T5kaH4jCGVaMVPqS
Tháp Đôi (Tháp Chăm Quy Nhơn),Di tích kiến trúc Chăm Pa còn sót lại từ thế kỷ 11-12,Bình Định,"Di tích lịch sử, Công trình kiến trúc",https://maps.app.goo.gl/wjVteS6TcgmNoYsR8,1EGIsbw-yYv87tzC-4xiNs6QuUPbtnVvg
Eo Gió Quy Nhơn,Eo biển đẹp với những vách đá hùng vĩ và làn nước trong xanh,Bình Định,"Điểm chụp ảnh đẹp, Biển",https://maps.app.goo.gl/bnQvWqUDxPgc93RB9,1ecVMTGy5YcC8vmMYdbfiJjrHkTmhchkZ
Bãi biển Quy Nhơn,Bãi biển đô thị đẹp với bờ cát trắng dài và nước biển trong,Bình Định,"Đi bộ đường dài, Biển, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/z2kNVgkRCm7QcwcA6,1fsxb6YQR5a-okzgS3IJj3aI1-SuSQibH
Kỳ Co,"Bãi biển hoang sơ được mệnh danh là ""Maldives của Việt Nam""",Bình Định,"Di tích lịch sử, Biển, Danh lam thắng cảnh",https://maps.app.goo.gl/kAMQvKU33ZxPrVJEA,1Gew9U7y0FK0O333ShzED9kwrOESfgZZt
Đảo Hòn Khô,Đảo nhỏ với bãi biển đẹp và hoạt động lặn ngắm san hô,Bình Định,"Điểm chụp ảnh đẹp, Điểm ngắm cảnh tự nhiên, Biển",https://maps.app.goo.gl/2EGm74YmrZk3J9Ww9,1wsYnunaTsUI0BSYx0hnCArpHpBbU38Hc
Ghềnh Ráng - Tiên Sa,Danh thắng với những bãi đá kỳ thú và bãi tắm đẹp,Bình Định,"Danh lam thắng cảnh, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/mqQVcM5KU53qYGs99,111e0UY1UhiExAozieNCHROBVrmxY_JuM
Tháp Bánh Ít,Quần thể đền tháp Chăm Pa cổ từ thế kỷ 11,Bình Định,"Khu phố cổ, Đền",https://maps.app.goo.gl/zTBngcKwLyCnc19n7,1_F9mtnAHf7_WUW74ECVrehQtS86tlr1_
Bảo tàng Quang Trung,Bảo tàng về vua Quang Trung - Nguyễn Huệ và phong trào Tây Sơn,Bình Định,"Bảo tàng, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/hSf7KRMdsGfmXYwa7,19wv_k2iWUjksWGqsW5FOGBus7eLAtFBk
Hầm Hô,Khu du lịch sinh thái với hệ thống hang động và hồ nước đẹp,Bình Định,"Làng nghề truyền thống, Điểm chụp ảnh đẹp, Khu bảo tồn",https://maps.app.goo.gl/GBVkf7sPYn3DN4sS8,1LrqWjGn_67fjlEsEUJbfvCLNnNvoPXxD
Đảo Phú Quý ,Bãi biển đẹp với cát trắng mịn và nước trong xanh,Bình Định,"Điểm chụp ảnh đẹp, Biển",https://maps.app.goo.gl/EEQD6NJ77vxZq86w6,1qaQ07p6GJrHcDEXJj9hX1S2sUQwMMipy
Hòn Sẹo,Đảo nhỏ với địa hình độc đáo và bãi biển đẹp,Bình Định,"Lễ hội địa phương, Điểm chụp ảnh đẹp, Biển, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/qFxuijkKxVFafEF98,1lViInZ4Mg-qAHeNFrf7-QLeCyUaUFSVp
Đầm Thị Nại,Đầm phá lớn thứ hai Việt Nam với cảnh quan đẹp và hệ sinh thái phong phú,Bình Định,"Danh lam thắng cảnh, Đi xe đạp tham quan, Điểm chụp ảnh đẹp, Điểm ngắm cảnh tự nhiên",https://maps.app.goo.gl/aVfZyFa2SyGuRhkT8,1Sxf94162A08ItbKExQbHAh9o0N9JsQ_m
Tháp Dương Long,Di tích kiến trúc Chăm Pa với ba tháp cổ,Bình Định,"Công trình kiến trúc, Di tích lịch sử, Khu phố cổ",https://maps.app.goo.gl/VBXx5J5cjecm7n4J7,1ZDummGZ_0CCJAQnMgqcYlCqtQiWm6Fi7
Bãi biển Trung Lương,Bãi biển đẹp với những hàng dương xanh,Bình Định,"Biển, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/beHzNVVrSbN9jhJD9,1HuLES6rm-A5uCaLC8UDYOVt7wFC26oms
Làng chài Nhơn Hải,Làng chài truyền thống với đời sống ngư dân đặc trưng,Bình Định,"Chợ truyền thống, Làng nghề truyền thống",https://maps.app.goo.gl/6i9uZQsQFLofacbQ9,1rcff8eAy57TmlJR3_UQgDJUW16eVdvho
Làng nghề gốm Bàu Trúc,Làng nghề gốm truyền thống với kỹ thuật làm gốm không dùng bàn xoay,Ninh Thuận,"Làng nghề truyền thống, Chợ truyền thống",https://maps.app.goo.gl/25vXypazYgsuLJ3n7,1SsQBvFbdX9Ih4xTW85vjQMiNblYOqNeF
Chợ Đầm Quy Nhơn,Chợ lớn với nhiều đặc sản và ẩm thực địa phương,Bình Định,"Địa điểm nổi tiếng, Lễ hội địa phương",https://maps.app.goo.gl/ejT7RcVMWkrHKVCx9,1GBu9KW1QADN2SWTIy2-S-sUHJmyRe2HK
Biển Quy Hòa,Bãi biển đẹp gắn liền với Làng phong Quy Hòa,Bình Định,"Biển, Làng nghề truyền thống, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/9CKRMMBmaKEXBmKE9,1Y7_d-qqzitDFNbhe_03o5gdrbP5qkJYi
Hòn Khô Nam,Đảo nhỏ với bãi đá độc đáo và nước biển trong xanh,Bình Định,"Chợ đêm, Biển, Chùa",https://maps.app.goo.gl/Jsxx5ktVgXPuU2929,14m4O-cgFMe00CjND5ehd9EyUg30fBCXP
Làng chài Nhơn Lý,Làng chài truyền thống gần bãi biển Kỳ Co,Bình Định,"Chợ truyền thống, Biển, Làng nghề truyền thống",https://maps.app.goo.gl/zahEvSb66ZAQXEp79,1OALpfjA3JJSgw5KeFgDXzYf30_HOlEuF
Mộ Hàn Mặc Tử,Khu lăng mộ của nhà thơ nổi tiếng Hàn Mặc Tử,Bình Định,"Khu bảo tồn, Khu vui chơi, Địa điểm nổi tiếng",https://maps.app.goo.gl/3QpScaXn4Kha9XUx9,1dOyfVEV0EstrIeO3Dum6ePLqcGQTgKAx
FLC Quy Nhơn,Khu nghỉ dưỡng cao cấp với sân golf và bãi biển riêng,Bình Định,"Biển, Khu phố cổ",https://maps.app.goo.gl/FGkev8zXD1fguTM48,1Q4YqNz3eAs9Y5ecCe2cJZVpg8OIFoqod
Khu bảo tồn thiên nhiên Hòn Bà,Khu bảo tồn sinh thái với hệ động thực vật phong phú và khí hậu mát mẻ quanh năm.,Khánh Hòa,"Khu bảo tồn, Thiên nhiên, Đi bộ đường dài, Cắm trại, Picnic",https://maps.app.goo.gl/UZehdnDyZJHchbfi9,1fulbZZyMASui__zdRAdzo-XOoFuHofNc
Hồ cá Trí Nguyên Aquarium On Soi Island,Hồ cá ngoài trời mô phỏng đại dương sống động với nhiều loài sinh vật biển.,Khánh Hòa,"Điểm chụp ảnh đẹp, Công trình kiến trúc, Khu vui chơi",https://maps.app.goo.gl/hDpcW3wkT7ZGUyK4A,12EFFhBNTOCHzW-QWwz2rBdDe0tmawZ2T
Đảo Hòn Tre,Hòn đảo lớn với bãi biển đẹp và khu vui chơi giải trí nổi tiếng VinWonders Nha Trang.,Khánh Hòa,"Đảo, Biển, Khu vui chơi, Chèo thuyền, Lướt ván",https://maps.app.goo.gl/rmnvdUPDQbs3E8BF6,1rDTlcN2s1rtUETVczpx0PYiysa06OVGY
Thác Yang Bay 2,"Khác với khu du lịch Thác Yang Bay 1 đã nổi tiếng, khu Yang Bay 2 mang vẻ hoang sơ hơn, thích hợp cho những ai yêu thích khám phá thiên nhiên thuần khiết, thác nước mát lạnh, rừng rậm và thiên nhiên hùng vĩ.",Khánh Hòa,"Thác, Thiên nhiên, Đi bộ đường dài, Picnic",https://maps.app.goo.gl/VDFhZumn6jLpPf4P7,19GJQZ2UIuwZ-2lcCyE65bMhYldBBlu8V
Vinpearl Land Nha Trang,Khu vui chơi giải trí hiện đại trên đảo Hòn Tre,Khánh Hòa,"Khu bảo tồn, Khu phố cổ, Khu vui chơi",https://maps.app.goo.gl/KLG8CGWmLbD42KyK7,1aFM6WJZxye9AmD8G4STmYg9a1hyPL97H
Đảo Yến – Hòn Nội ,"Điểm đến hấp dẫn ở Nha Trang, nổi bật với bãi tắm đôi duy nhất ở Việt Nam cùng hai dòng nước nóng - lạnh. Đảo có cảnh quan thiên nhiên tuyệt đẹp, biển xanh trong và là nơi lý tưởng để ngắm chim yến tự nhiên.",Khánh Hòa,"Đảo, Thiên nhiên, Điểm ngắm cảnh tự nhiên, Đi thuyền",https://maps.app.goo.gl/i4mueqzSmYFzwHjK9,1nnwYNus8i4AHuw-GdF2O6glLquBjXJaS
Bãi biển Nha Trang,"Một trong những bãi biển đẹp nhất Việt Nam, với bờ cát trắng mịn dài hơn 7km",Khánh Hòa,"Điểm chụp ảnh đẹp, Đi bộ đường dài, Biển",https://maps.app.goo.gl/g51k67zebqjpzheQ7,1L__V7u_PcFPV2V0QbneKPI_2bxYtVeP_
Bảo Tàng Hải Dương Học,Viện nghiên cứu và bảo tàng về sinh vật biển lớn nhất Đông Nam Á,Khánh Hòa,"Khu bảo tồn, Bảo tàng, Biển",https://maps.app.goo.gl/mvxbzZvnSoLY485u9,1y8efvbx9qfz2XSTmLGFKLfrY_MUNixb_
Tháp Bà Ponagar,Di tích kiến trúc Chăm Pa có từ thế kỷ 7-12,Khánh Hòa,"Di tích lịch sử, Công trình kiến trúc",https://maps.app.goo.gl/SMAYQrN5QJwKZKq98,1g6UK7i7qJGq9OdIzdj-MqFTkEmt3p91u
Đảo Hòn Mun,Khu bảo tồn biển đầu tiên của Việt Nam với hệ sinh thái san hô phong phú,Khánh Hòa,"Biển, Khu phố cổ, Khu vui chơi",https://maps.app.goo.gl/M7J6JDQietV33J7r5,1ss8MpDtst9MJIxmlVvqzboi-pUgqLcI9
Vịnh Ninh Vân,"Vịnh biển đẹp hoang sơ được mệnh danh là ""Vịnh biển đẹp thứ hai thế giới""",Khánh Hòa,"Biển, Điểm chụp ảnh đẹp, Danh lam thắng cảnh",https://maps.app.goo.gl/eNUFZbnvMmhR5YhH7,13sJdqvyC98yrkmmwjtHtsTMJ93sJhvAA
Đảo Khỉ (Hòn Lao),Đảo với hơn 1200 con khỉ hoang dã và các hoạt động tương tác với khỉ,Khánh Hòa,"Lễ hội địa phương, Vườn quốc gia, Quán cà phê",https://maps.app.goo.gl/znBBYvvkYiucDved6,1q6s_QeyVVAAKXuF1o71qP20yDr8AYy9g
Vịnh Nha Phu,Vịnh biển đẹp với nhiều đảo nhỏ và hoạt động giải trí,Khánh Hòa,"Biển, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/RHmaBSQeVb43NyeV6,1tzrMVvLWHYVJVzBlOyHRETP9oIXMKbSe
Đảo Điệp Sơn,Đảo nổi tiếng với con đường đi bộ giữa biển,Khánh Hòa,"Đi xe đạp tham quan, Phố đi bộ, Địa điểm nổi tiếng, Biển",https://maps.app.goo.gl/dKBBA8vvwrcegdep6,1gzqoE4-czHiq1jzsEnfWieA1voOMfvHi
Khu du lịch Đảo Hoa Lan,Khu du lịch sinh thái với những loài hoa lan quý hiếm và thác nước đẹp,Khánh Hòa,"Khu phố cổ, Di tích lịch sử, Điểm chụp ảnh đẹp, Thác",https://maps.app.goo.gl/GtDjZKVrGzdAg4cR6,11fBytvHiI3Fh_IpEnrS1lTYFZANV3L8x
Chợ Đầm Nha Trang,Chợ truyền thống lớn với nhiều đặc sản và ẩm thực địa phương,Khánh Hòa,"Địa điểm tham quan miễn phí, Lễ hội địa phương",https://maps.app.goo.gl/jkTNdPaeQ9X9hk7L9,1cb5QSqj-8ry4Bt_1U2mFaHwOQXiW2FIl
Nhà thờ Đá Nha Trang,Nhà thờ Công giáo với kiến trúc Gothic xây bằng đá,Khánh Hòa,"Công viên, Nhà thờ, Công trình kiến trúc",https://maps.app.goo.gl/1aXG3vsFJWZU4fMcA,1eAnc10KDxqSVwplvG5KCRiQBl9Vc622s
Bãi biển Dốc Lết,Bãi biển đẹp với cát trắng mịn và nước trong xanh,Khánh Hòa,"Biển, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/BKvmYnTZ5MUZQrBKA,1chWqmZZQ-cBrXtgGN6m49RTOIqNw1OlN
Hòn Tằm,Đảo xinh đẹp với bãi biển riêng tư và khu nghỉ dưỡng cao cấp,Khánh Hòa,"Biển, Khu bảo tồn",https://maps.app.goo.gl/Gh2YWpVvSAV3zcfu7,1ow3XLvMNmLtS9yPKfQyXQ7MM1mHq9Cny
Long Sơn Pagoda,Chùa cổ với tượng Phật trắng khổng lồ,Khánh Hòa,"Tượng đài, Khu phố cổ, Chùa",https://maps.app.goo.gl/J5p5JCFimXvfS8k3A,11HOaU13eb5PxsWfGsQ6lV8b5GWg8k6DK
Bãi biển Bãi Dài,Bãi biển hoang sơ dài 15km với cát trắng mịn,Khánh Hòa,"Biển, Đi bộ đường dài",https://maps.app.goo.gl/UjdSn6M1ioH8CP2A9,1QbihBfhEm8JphvHTOR2-OLltlzzHq1gD
Đảo Bình Ba,Đảo xinh đẹp nổi tiếng với tôm hùm và cảnh quan thiên nhiên,Khánh Hòa,"Địa điểm tham quan miễn phí, Danh lam thắng cảnh",https://maps.app.goo.gl/5eQyVwtKDMVp5c3Z7,1jkcDuBZB6j9IdjMFtSWnpLZ7z1MgqgLg
Đảo Bình Hưng,Đảo với bãi biển đẹp và làng chài yên bình,Khánh Hòa,"Biển, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/HqnuV8tsVuvTaxMk8,199KZSRVGOANyBKdXdD8upq9FR-tXl9wn
Hòn Chồng,Danh thắng với những khối đá chồng lên nhau kỳ thú,Khánh Hòa,"Danh lam thắng cảnh, Hồ",https://maps.app.goo.gl/ssmHMneVkUwCaRiN8,1o631vDp0WLq5r0rzKU0s5PJ1GL9YXv5x
Bùn khoáng nóng I-resort Nha Trang,Khu nghỉ dưỡng với dịch vụ tắm bùn khoáng và spa,Khánh Hòa,"Khu phố cổ, Khu bảo tồn, Khu vui chơi",https://maps.app.goo.gl/JK1p8Fijzox9NuUf7,1SAqgFi9QEbpOvU-QmwKv1i5j6AGlaSau
Đảo Hòn Ông,Đảo với bãi biển hoang sơ và rạn san hô đẹp,Khánh Hòa,"Điểm chụp ảnh đẹp, Biển",https://maps.app.goo.gl/o7mn9W1fUkiSuo3WA,1NVIn8Yc7sFAl7kKM9xR9Qz3lbHO7lYvN
Bảo tàng Khánh Hòa,Bảo tàng trưng bày về lịch sử và văn hóa tỉnh Khánh Hòa,Khánh Hòa,"Khu bảo tồn, Bảo tàng",https://maps.app.goo.gl/grJwqC8Qo6TH6ikq5,190B0RQvwwvWdpk5hQ3OPLW_K-1lout1e
Đảo Robinson (Hòn Một),Đảo hoang sơ với bãi biển đẹp và hoạt động lặn biển,Khánh Hòa,"Biển, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/CrG27F6kQjB33VQK7,19yrsBTVo-ct87J_gfFcb3MD_TWOPtt7c
Tháp Trầm Hương,Biểu tượng của thành phố Nha Trang,Khánh Hòa,"Tượng đài, Khu phố cổ",https://maps.app.goo.gl/JiSdZgdCesxvdSxY8,1P5R39sVEMjkb9Ffthk0dqIyUdBwHv7gw
Bãi biển Nhũ Tiên,Bãi biển hoang sơ với cảnh quan thiên nhiên đẹp,Khánh Hòa,"Đi xe đạp tham quan, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/HQzgaqjjax9tNn2Z8,10BC5uln6b76aTNI3msUuKl0HE073Sx0h
Cửa Tây - Thành Cổ Diên Khánh,"Cổng thành cổ còn sót lại của Diên Khánh, mang đậm dấu ấn lịch sử.",Khánh Hòa,"Di tích lịch sử, Công trình kiến trúc, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/t5Rwm192K4xf8HMV8,17Xm3eXnwzT-1O2wzljwESiGD7U-Z-l8a
Suối Ba Hồ,"Quần thể 3 hồ tự nhiên giữa rừng xanh, thích hợp cho bơi lội và leo núi nhẹ.",Ninh Thuận,"Suối, Hồ, Thiên nhiên, Đi bộ đường dài, Picnic",https://maps.app.goo.gl/4rjSXigDC8NJAWMn8,1fpHNoTeVfqthmx7-b2IahAzc3s3fcf9P
Vịnh Vĩnh Hy,Một trong những vịnh đẹp nhất Việt Nam với nước biển trong xanh,Ninh Thuận,"Biển, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/UcZjkgp9eAUorSN68,1FAtTiZGbDB2FR8nUojm9mMB0g4zW2DcU
Tháp Chàm Pô Klong Garai,Di tích kiến trúc Chăm Pa từ thế kỷ 13-14,Ninh Thuận,"Di tích lịch sử, Công trình kiến trúc",https://maps.app.goo.gl/YvjbJeze9zk93vzY8,1OnRXrWWhNaVIhMNP0l2EW0T7B_cmTApu
Bãi biển Bình Tiên,Bãi biển hoang sơ với cát trắng mịn và nước biển trong xanh,Ninh Thuận,"Công viên, Đồi, Biển, Chùa",https://maps.app.goo.gl/FChNegj2xdVRXiQCA,10YunemCvSSzzosoIcgf--HEw1nS_XMbR
Làng dệt thổ cẩm Mỹ Nghiệp,Làng nghề dệt thổ cẩm truyền thống của người Chăm,Ninh Thuận,"Ẩm thực, Phố ẩm thực, Làng nghề truyền thống",https://maps.app.goo.gl/jjJZz7UnrL4UTJyS7,1O8l7dgd00xOMzRWmw7FR12FAMudam1S5
Hang Rái,Danh thắng với những tảng đá lớn và hang động tự nhiên bên biển,Ninh Thuận,"Thiên nhiên, Điểm ngắm cảnh tự nhiên, Biển",https://maps.app.goo.gl/qNYKAwiehhfDBSKr5,1wFIxkimVO8hx4VajvXvmuNnYjJN7BuNp
Đồi cát Nam Cương,Đồi cát đỏ với cảnh quan sa mạc độc đáo,Ninh Thuận,"Đi xe đạp tham quan, Điểm ngắm cảnh tự nhiên, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/FtEFusKPEZapEx7q9,1HwAR5kKmf72cBvdDXyVe8Re04kroKBeI
Mũi Dinh,Mũi đất với cảnh quan hoang sơ và bãi biển đẹp,Ninh Thuận,"Điểm ngắm cảnh tự nhiên, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/2kB3upyF8Br7qyYG7,1vNevXpd8Z5C2_Y_W7qWynFbZN8C0AAOn
Bãi biển Ninh Chữ,Bãi biển đẹp với cát trắng mịn và nước biển trong xanh,Ninh Thuận,"Điểm chụp ảnh đẹp, Biển",https://maps.app.goo.gl/7i922T4oVqSMkoEo9,1ESFGVAf5bmxqZJdKlDI3bykAEbnu99CC
Lâu đài rượu vang RD,Nhà máy rượu vang nổi tiếng với kiến trúc lâu đài,Ninh Thuận,"Nhà thờ, Tượng đài, Công trình kiến trúc",https://maps.app.goo.gl/pHvtM1CdmvoL7p1E8,18Rtt2WZNTJlFvjU-k00NCKKIGKLkMRmk
Đầm Nại,Đầm nước lợ lớn với hệ sinh thái đa dạng,Ninh Thuận,"Vườn quốc gia, Tượng đài",https://maps.app.goo.gl/bJHPDwpHHC6STQJ96,1-8sS7RroH4tA4xI6bmGkeiYj05xtLVgu
Hải đăng Mũi Dinh,Ngọn hải đăng cổ với kiến trúc đẹp và tầm nhìn panorama,Ninh Thuận,"Công trình kiến trúc, Khu phố cổ, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/XwaTa3yyEJ2xKVzRA,1KGjyKuecdDBIFnwG1SUaBAnpfeNcXrA-
Bãi đá 7 màu,Bãi đá với nhiều màu sắc tự nhiên độc đáo,Ninh Thuận,"Điểm ngắm cảnh tự nhiên, Thiên nhiên",https://maps.app.goo.gl/rn98QuLj5BpXpsj59,1tE6bR-UtvEMXL8kv8OkYk4RYID4pukE-
Chợ Phan Rang,Chợ truyền thống với nhiều đặc sản và hàng thổ cẩm,Ninh Thuận,"Làng nghề truyền thống, Ẩm thực, Chợ đêm",https://maps.app.goo.gl/6fyL3cZWoNZYSFGe9,1PgTHKMln3nOSOMtbvGLgfveumhZyXmej
Điện mặt trời Trung Nam,Nhà máy điện mặt trời lớn nhất Đông Nam Á,Ninh Thuận,"Đi bộ đường dài, Đi xe đạp tham quan",https://maps.app.goo.gl/bWC125Rqs6fiogbD6,1Z_KmI2wnp2b-V23evDYdSBNgY1QRhoOL
Bãi Chà Là,Bãi biển hoang sơ với hàng chà là và làn nước trong xanh.,Ninh Thuận,"Biển, Thiên nhiên, Điểm chụp ảnh đẹp, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/Ez3WBivaP7s17E546,1lvl6ijjidM5PkfbBAfxBCGDfnrkyXFtx
Mũi Né,Khu du lịch biển nổi tiếng với những đồi cát và bãi biển đẹp,Bình Thuận,"Đồi, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/JpZMcWLPadVSURbr9,1siUj9yFwsgoyWjx_AJuH43D66QBJxNmE
Suối Tiên Mũi Né,"Suối với nước và cát đỏ độc đáo, tạo nên cảnh quan kỳ thú",Bình Thuận,"Danh lam thắng cảnh, Điểm ngắm cảnh tự nhiên, Điểm chụp ảnh đẹp, Đi xe đạp tham quan",https://maps.app.goo.gl/XgLREiifyyrtnP1H6,1QmpuRX3_OyuNsRA3QW1aJIJ1H5oXvf3c
Bàu Trắng (Bàu Sen),Hồ nước ngọt giữa sa mạc với cảnh quan đẹp,Bình Thuận,"Điểm chụp ảnh đẹp, Hồ, Điểm ngắm cảnh tự nhiên",https://maps.app.goo.gl/Zb8VH8FXgxHXbAjB8,1YE4u04P4l2YIFv8OjSs5ICVRKN-iVO6h
Tháp Chàm Pô Sah Inư,Di tích kiến trúc Chăm Pa từ thế kỷ 8,Bình Thuận,"Di tích lịch sử, Công trình kiến trúc",https://maps.app.goo.gl/iWDa6noX13AN5KLJ8,1bd1aKn_EbVA8S06ArLBZiFUVvdDdh-M3
Cù Lao Thu,Đảo xinh đẹp với bãi biển hoang sơ và làng chài yên bình,Bình Thuận,"Điểm chụp ảnh đẹp, Biển",https://maps.app.goo.gl/sgGZ92PPNauutjXQA,1vx_yPYwny9GvXSR_TMU9wCi6Ejp67lv2
Núi Tà Cú,Ngọn núi nổi tiếng với tượng Phật nằm dài nhất châu Á và cáp treo lên đỉnh.,Bình Thuận,"Núi, Đền chùa, Đi bộ đường dài, Điểm ngắm cảnh tự nhiên",https://maps.app.goo.gl/VjTw629XPQCGxw1c6,13-6FQzOAoHKi5lgyVoYX0dY17W_Azxbc
Bãi đá Ông Địa,Bãi đá với những hình thù kỳ lạ do thiên nhiên tạo nên,Bình Thuận,"Thiên nhiên, Điểm ngắm cảnh tự nhiên",https://maps.app.goo.gl/jdJV2NBb5DTP5XRv9,1AfcTmMqtE0CkBGhnDhj1o2a4BQolvSxg
Làng chài Mũi Né,Làng chài truyền thống với đời sống ngư dân đặc trưng,Bình Thuận,"Chợ truyền thống, Làng nghề truyền thống",https://maps.app.goo.gl/ovZVDLxorqSBWYRB7,1v_m9uBGXT-x5nfww3k--hvgJtjoifEaF
Hòn Rơm,Danh thắng với những đồi cát vàng và bãi biển đẹp,Bình Thuận,"Đồi, Danh lam thắng cảnh, Điểm chụp ảnh đẹp, Biển",https://maps.app.goo.gl/51eoFCmid3VfeMtd9,1g6eNataGMJ3cJ09rL8zjXZaQpkcNo_Bk
